product_name,category,discounted_price,actual_price,discount_percentage,rating_count,about_product,product_link
Lenovo GX20L29764 65W Laptop Adapter/Charger with Power Cord for Select Models of Lenovo (Round pin) (Black),Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies,"₹1,249","₹2,796",55%,"4,598","Technical Specifications: Output: 20 V, 3.25 A ,65W Input: 100-240 V, ~1.5 A, 50-60 Hz|Compatible with Yoga S740, Yoga 520, Yoga 510, 330-14, 330-15, 330-17, 130-14, 130-15, S340, S145, S540, 330S, 520S, 520|BIS Certification Number: R411012912|Country of Origin: China|Power Source Type: Corded Electric; Compatible Devices: Laptops",https://www.amazon.in/Lenovo-65W-320-15IKBRA-320S-14IKBR-510S-13IKB/dp/B07DJ5KYDZ/ref=sr_1_360?qid=1672903012&s=computers&sr=1-360
Gizga Essentials Laptop Power Cable Cord- 3 Pin Adapter Isi Certified(1 Meter/3.3 Feet),Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies,₹179,₹499,64%,"10,174","This is a polarized power cable designed to connect a wall socket and your Laptop/notebook power brick. The female connector plugs directly into the device while the male connector plugs into a standard outlet.|COMPATIBLE for All 3 pin Laptop Power Cable Cord|Fits most branded- Laptop Adapter/ Chargers: Universal AU 3-Prong AC Power Cord 3 Pin Adapter Cable. Fit most Laptops, Game Players, Cameras, Printers, AC Power Adapters or Chargers.|It converts back and forth between 3-prong Power Plug and 3-Prong Laptop Power Cord.|Overload protection:Overload protection with high quality wires.Anti-Interference feature with better Isolation materials, better quality rubberized texture Cord",https://www.amazon.in/Gizga-Essentials-Laptop-Adapter-Certified/dp/B01IOZUHRS/ref=sr_1_267?qid=1672903008&s=computers&sr=1-267
"Dyazo 6 Angles Adjustable Aluminum Ergonomic Foldable Portable Tabletop Laptop/Desktop Riser Stand Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Silver)",Computers&Accessories|Accessories&Peripherals|LaptopAccessories|NotebookComputerStands,₹599,"₹1,999",70%,"4,736","Dyazo Height Adjusting Laptop Stand Or Laptop Ergonomic Stand Or Laptop Stands For Office Desk Improves Your Posture Scientifically Designed To Help You Balance You’re Sitting Posture Keeping Your Back Straight, Neck Relaxed And Wrists Natural Even After Long Work Hours|Multi-Angle Adjustable Design: The Aluminium Laptop Stand Or Metal Laptop Stand Or Foldable Laptop Stand Or Better Known As A Aluminum Laptop Stand Provides 6-Speed Adjustable Height, Adjust To Comfortable Operating Angle And Height Based On Your Actual Need. And The Ergonomic Design Makes For Easy Watching And Typing, Relieving Neck, Shoulder And Spinal Pain.|Compatibility: The Laptop & Tablet Stand Supports Most Devices From 10 - 15.6 Inches: Macbook, Thinkpad, Surface, Chromebook, Ipad Pro, Etc. Therefore Known As A 11.6 Inch Laptop Stand ,12 Inch Laptop Stand , 13.3 Inch Laptop Stand ,15 Inch Laptop Stans & 15.6 Inch Laptop Stand|Dyazo Travel Laptop Stand Or Laptop Stand Metal Is A Laptop Foldable Stand Which You Can Fold And Carry Easly In Your Backpack Or Briefcase You Can Use It To Change Angle Of Your Laptop Therefore Use It As Laptop Incline Stand Or Laptop Height Stand|Laptop stand fully foldable, light weight at 260gm only and extremely handy to carry in your office bag [Increases laptop life]-keeps your laptop cooler so the battery life and internal components life also improves|EXQUISITE WORKMANSHIP: Machined from anodized aluminum alloy, with sand blasted and brushed processes. With Non-slip silicone mat, avoid from risking of any scratches to your devices and stable placement makes it the best laptop stand available in the market|One year warranty",https://www.amazon.in/Dyazo-Computer-Adjustable-Ergonomic-Compatible/dp/B08LHTJTBB/ref=sr_1_228?qid=1672903006&s=computers&sr=1-228
STRIFF Laptop Stand Adjustable Laptop Computer Stand Multi-Angle Stand Phone Stand Portable Foldable Laptop Riser Notebook Holder Stand Compatible for 9 to 15.6” Laptops Black(Black),Computers&Accessories|Accessories&Peripherals|LaptopAccessories|NotebookComputerStands,₹299,"₹1,499",80%,903,"Adjustable - Eight heights can be freely adjusted from 5.5inch to 7.0inch. You can straighten your waist and relieve cervical and neck fatigue, feel comfortable to work.|Durable - Made of lightweight ABS with non-slip rubber surface pads to keep laptop in place, strong and reliable, not easy to fade. Compatible with all laptops 10-15.6”, durable enough to support up to 44 lbs (20kg).|Portable - Foldable and easy to place. Convenient to carry and use at home, the office or somewhere else.|Hollow design - Reduce the contact area with the desktop, which provides a cavity and is more conducive to heat dissipation.",https://www.amazon.in/STRIFF-Adjustable-Computer-Multi-Angle-Compatible/dp/B08PFSZ7FH/ref=sr_1_189?qid=1672903004&s=computers&sr=1-189
STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black),Computers&Accessories|Accessories&Peripherals|LaptopAccessories|NotebookComputerStands,₹349,"₹1,499",77%,"24,791","FOLDABLE, PORTABLE, LIGHTWEIGHT: The Carnation Laptop Stand has a thin, hard plastic frame. It can be easily folded and carried around. Durable enough to withstand the weight of up to 55 lbs (25kg).|OPTIMIZED FOR AIR VENTILATION: To prevent your computer from overheating, the laptop stand has large cut-out vents and adjustable height options that allow air to circulate from all sides. Well vented.|ADJUSTABLE HEIGHT 7 OPTIONS: Raise your laptop or tablet to any of seven adjustable heights from 2.7” to 6.7” so you can get a clearer, glare-free view while getting neck pain relief and preventing eye strain.|PHONE STAND, and PURE ERGONOMICS: Easily share the screen with those next to you. No constant reaching for your phone anymore. This means fewer distractions, better concentration. The new meaning of Ergonomic.",https://www.amazon.in/STRIFF-Adjustable-Patented-Ventilated-Compatible/dp/B07XCM6T4N/ref=sr_1_13?qid=1672902995&s=computers&sr=1-13
Redgear MP35 Speed-Type Gaming Mousepad (Black/Red),Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Gamepads,₹299,₹550,46%,"33,434","Speed-type surface mousepad is designed with the use of great technology and craftsmanship especially for professional gamers. Non-slip rubber base|Mouse Mat Size: 350mm x 250mm x 4mm|Fit for all gaming mouse, regardless of sensitivity settings|Quick response for consistent in game control|Incredibly smooth and fast|Mouse moves quickly across the entire surface with zero hindrance|Suits gamers who need to hit targets faster and more efficiently",https://www.amazon.in/Redgear-MP35-Speed-Type-Gaming-Mousepad/dp/B01J1CFO5I/ref=sr_1_257?qid=1672903007&s=computers&sr=1-257
"Redgear Pro Wireless Gamepad with 2.4GHz Wireless Technology, Integrated Dual Intensity Motor, Illuminated Keys for PC(Compatible with Windows 7/8/8.1/10 only)",Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Gamepads,"₹1,699","₹3,999",58%,"25,488","Gamepad comes equipped with2.4GHz wireless technology and supports up to 10 metres range, an ideal choice for those looking to enjoy your favourite games without the hassle of cables and wires.|The built-in lithium-ion battery in the gamepad can provide uninterrupted gameplay for up to 2 hours in a single charge for upto 30-minute|Integrated dual intensity motor which allows a realistic gaming experience.|Integrated force feedback. Reset : When an exception occurs, such as Keys disorder, or crash, unable to connect. Remove the USB connection from the gamepad and device and reconnect.|The gamepad comes with illuminated keys on the back which light up and allow visibility even in low light conditions.|1 year warranty from the date of purchase",https://www.amazon.in/Redgear-Pro-Wireless-Gamepad-Black/dp/B0756CLQWL/ref=sr_1_162?qid=1672903002&s=computers&sr=1-162
"RPM Euro Games Laptop/PC Controller Wired for Windows - 7, 8, 8.1, 10 and XP, Ps3(Upgraded with XYAB Buttons)",Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Gamepads,₹699,"₹1,490",53%,"5,736","RPM Euro Games controller for Windows – 7, 8, 8.1 and 10 + PS3 | dual vibration | Note: to switch from Direct to X-input mode, press and hold the ""home"" Button|This gamepad has 10 digital keys, 2 Analog sticks, 2 Analog sensitive triggers, 1.7 meter USB cable. X and D input compatible.|Connection: USB 2.0 high speed ​​(Wired) | vibration effects through dual vibration function (rumble effect) ensure even more realistic gaming environment.|Easy installation through plug & play | ergonomic shape/ compact design | light weight",https://www.amazon.in/RPM-Euro-Games-Controller-Wired/dp/B08J4PL1Z3/ref=sr_1_386?qid=1672903014&s=computers&sr=1-386
"Redragon K617 Fizz 60% Wired RGB Gaming Keyboard, 61 Keys Compact Mechanical Keyboard w/White and Grey Color Keycaps, Linear Red Switch, Pro Driver/Software Supported",Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingKeyboards,"₹2,649","₹3,499",24%,"1,271","Slim Fresh K617: Redragon's new 60% layout wired keyboard in a refreshing style with a no-brainer deal economic offer. Compact 61 keys with selected keycaps, dedicated for FPS Gamers and efficient working.|Hot-Swappable Red Switches: Most quiet mechanical switch, linear and soft key travel makes every click easy to register. Hot-swappable with other Redragon switches. Made to last with switches rated for 50 million keypresses.|Vibrant RGB: Up to 20 presets backlighting modes are free to choose by the keyboard itself. Brightness and flowing speed is also adjustable on board. Select your own preferred modes for any playing.|Pro Software Customizable: Expand your options using the available software to design your own new modes and effects found on redragonshop. Macros with different keybindings or shortcuts for more efficient work and gaming.|Dedicated for FPS Gamer: Place the keyboard proper straight on your desktop and no more crooked way for mouse space saving, your mouse will never hit the keyboard any more. Enjoy waving the mouse without any worries and go get that Team Kills.",https://www.amazon.in/Redragon-K617-Keyboard-Mechanical-Supported/dp/B09BVCVTBC/ref=sr_1_362?qid=1672903013&s=computers&sr=1-362
"HP GK320 Wired Full Size RGB Backlight Mechanical Gaming Keyboard, 4 LED Indicators, Mechanical Switches, Double Injection Key Caps, and Windows Lock Key(4QN01AA)",Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingKeyboards,"₹1,519","₹3,499",57%,408,"Convertible dynamic mixing can easily adjust the brightness and switch display modes, and the variety of light eff ects are dazzling and exciting, and your desire to fi ght is stimulated.|50 million times ultra-long lifetime mechanical switch, A variety of mechanical buttons let you experience different knocks.|Matt double Injection Keycaps With a magnetic ring to eliminate interfering signals and transmission error|1 year manufacturer warranty on the device from the date of purchase.",https://www.amazon.in/HP-GK320-Gaming-Keyboard-4QN01AA/dp/B08498H13H/ref=sr_1_469?qid=1672903018&s=computers&sr=1-469
"HP K500F Backlit Membrane Wired Gaming Keyboard with Mixed Color Lighting, Metal Panel with Logo Lighting, 26 Anti-Ghosting Keys, and Windows Lock Key / 3 Years Warranty(7ZZ97AA)",Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingKeyboards,"₹1,149","₹1,800",36%,"4,723","Full-sized Membrane Keyboard. Compatibility:Windows 7 / Windows 8 / Windows 10|Metal panel with optional logo lighting (2 LEDs) and 3 LED indicators|Specially added LED backlight, with monochromatic or mixed color light options, showing its elegant temperament|26 keys Anti-Ghosting work simultaneously for fast and accurate game responses.|Double Injection Keycaps",https://www.amazon.in/HP-K500F-Gaming-Keyboard-7ZZ97AA/dp/B08498D67S/ref=sr_1_459?qid=1672903018&s=computers&sr=1-459
"Logitech G402 Hyperion Fury USB Wired Gaming Mouse, 4,000 DPI, Lightweight, 8 Programmable Buttons, Compatible for PC/Mac - Black",Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingMice,"₹1,995","₹2,895",31%,"10,760","HIGH SPEED TRACKING : Fusion engine delivers one of the highest gaming mouse tracking speeds of up to 500 IPS. Requirements : Windows 8, Windows 8.1, Windows 7 or Windows Vista. Length Cable: 2.1 m|8 PROGRAMMABLE BUTTONS : Customise your Logitech wired gaming mouse and enjoy default configuration straight out of the box or set up one-button triggers personal to you and save them to your G402 USB gaming mouse|ON-THE-FLY DPI : Shift through up to four DPI settings, from pixel-precise targeting (250 DPI) to lightning-fast manoeuvres (4000 DPI)|ADVANCED RESPONSE RATE : They will be communicated to the game at the highest possible speed|COMFORTABLE DESIGN : Lightweight materials, rubber grips and low friction feet help ensure that your gaming sessions last as long as you can",https://www.amazon.in/Logitech-Hyperion-Ultra-Gaming-Mouse/dp/B00NFD0ETQ/ref=sr_1_424?qid=1672903016&s=computers&sr=1-424
Ant Esports GM320 RGB Optical Wired Gaming Mouse | 8 Programmable Buttons | 12800 DPI,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingMice,₹575,"₹2,799",79%,"8,537","8 programmable buttons & Fire Button - support Macro editing, 8 mouse buttons can be programmed with Ant Esports easy-to-program gaming software. The rapid Fire button gives you the edge during intensive FPS battles. Great value FPS gaming mouse, also excellent for MOBA/ RTS games.|RGB backlit for extreme gaming experience- Multicolour RGB lighting, Easily turn on and off the backlit or change the color mode with the convenient switch at the bottom of the mouse. Plus, adopts impressive optical gaming sensor, ensure quickly switch for different games|Excellent gaming performance with 12800 DPI and 4 polling rate- GM320 gaming mouse with default 4 DPI levels available from 1000 to 12800 DPI. Easily adjust to instantly match mouse speed to different games. polling rate is adjustable: 500Hz-1000Hz, polling rate ensures smooth and high-speed movement|Ergonomic design – Ant Esports GM 320 with symmetrical & streamlined provides a comfortable claw-grip design, long-term use without fatigue. Top choice for computer game players. Excellent wired PC gaming mouse for casual gamers.|Reliable quality – Ant Esports gaming mouse, 20 million clicks lifespan, buttons with neat rebound and good feedback. Ant Esports Gaming mouse comes with 1 year warranty",https://www.amazon.in/Ant-Esports-GM320-Programmable-Comfortable/dp/B08D64C9FN/ref=sr_1_298?qid=1672903010&s=computers&sr=1-298
Zebronics Zeb-Transformer-M Optical USB Gaming Mouse with LED Effect(Black),Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingMice,₹399,₹549,27%,"18,139","Gaming mouse: ZEB-Transformer-M premium gaming mouse is designed for gamers who want the perfect fusion of high DPI, precision gaming along with LED lights.|Breathing LED- Your gaming is going to get LIT as the gaming mouse comes with 7 colors breathing LED that will charm the gamer in you.|Ergonomic design:The ZEB-Transformer-M gaming mouse comes in an ergonomic design that provides comfort for long hours.|Works on most surfaces: The mouse is designed to work on all surfaces and comes with a plug and play installation where no additional softwares is required.|High Precision: The gaming mouse comes with six buttons with a high precision DPI gaming sensor with 3200 DPI.|Dedicated DPI Switch: The gaming mouse has a dedicated DPI switch that can toggle between 1000/1600/ 2400/ 3200 DPI.|Dedicated forward & backward buttons: The gaming mouse comes with dedicated forward and backward buttons making it convenient for gamers to toggle.",https://www.amazon.in/Zebronics-Zeb-Transformer-M-Optical-Gaming-Effect/dp/B0819HZPXL/ref=sr_1_71?qid=1672902997&s=computers&sr=1-71
"Wings Phantom Pro Earphones Gaming Earbuds with LED Battery Indicator, 50ms Low Latency, Bluetooth 5.3, 40 Hours Playtime, MEMs Mic, IPX4 Resist, 12mm Driver, 500mah case, Headphones, (Black TWS)",Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Headsets,"₹1,199","₹5,499",78%,"2,043",50MS LOWER LATENCY : Designed to ensure lag-free immersive gaming audio throughout the match.|40 HR. MEGA PLAYTIME: For pure adrenalin pumping gaming with zero breaks.|LED GAMING LIGHT: For a gaming TWS case that bites hard in battle!|BLUETOOTH 5.3 CONNECTIVITY : For faster seamless pairing.|MEMs MIC WITH NOISE REDUCTION : Be heard always with complete clarity on call and in the game.|IMMERSIVE GAME MODE: Dedicated game mode enhances the gaming experience and takes the immersion a level above!|TYPE C POWER: At your fingertips for hassle-free charging every single time.,https://www.amazon.in/Wings-Phantom-Indicator-Bluetooth-Playtime/dp/B09MDCZJXS/ref=sr_1_389?qid=1672903014&s=computers&sr=1-389
"Redgear Cosmo 7,1 Usb Gaming Wired Over Ear Headphones With Mic With Virtual Surround Sound,50Mm Driver, Rgb Leds & Remote Control(Black)",Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Headsets,"₹1,990","₹2,999",34%,"14,237",Sound Quality: Truly immerse yourself in your games with hardware-driven virtual 7.1 surround sound for precisely located audio. Inline Remote :Yes|Microphone: Redgear Cosmo 7.1 comes equipped with a high quality built-in noise cancelling microphone for a quick and stable communication|Build Quality: It’s luxurious noise-isolating memory foam ear pads and adjustable split headband which reduces pressure and provides optimal comfort for long gaming sessions|Noise Cancellation: Redgear Cosmo 7.1 provides you a passive noise cancelling experience. It’s closed earcups design blocks any kind of distraction from outside which helps you keep focus during the game for as long as you want|Other Features: This headset has an amazing RGB LED light effect on ear-ups and tip of the microphone. It also comes equipped with audio control which helps control volume,https://www.amazon.in/Redgear-Cosmo-7-1-Headphones-Controller/dp/B079S811J3/ref=sr_1_429?qid=1672903016&s=computers&sr=1-429
Redgear Cloak Wired RGB Wired Over Ear Gaming Headphones with Mic for PC,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Headsets,₹749,"₹1,799",58%,"13,199","Sound Quality: Redgear Cloak comes equipped with 50mm Driver with Enhanced audio bass and clarity which dramatically improves your in-game sound experience. Inline Remote : No|Microphone: It comes equipped with a Omni-directional microphone which can be used as per you gaming situations. You can just put it up if it is not in use.|Build Quality: It’s luxurious noise-isolating memory foam ear pads and adjustable split headband reduces pressure and provides optimal comfort for long gaming sessions.|Other Features: This headset has an amazing RGB LED light effect on ear-ups and tip of the microphone. It also comes equipped with volume control, so just scroll up or down to adjust it.",https://www.amazon.in/Redgear-Cloak-Gaming-Headphones-Microphone/dp/B07T9FV9YP/ref=sr_1_400?qid=1672903014&s=computers&sr=1-400
"ProElite Faux Leather Smart Flip Case Cover for Apple iPad 10.2"" 9th Gen (2021) / 8th Gen / 7th Gen with Stylus Pen, Black","Computers&Accessories|Accessories&Peripherals|TabletAccessories|Bags,Cases&Sleeves|Cases",₹549,"₹1,499",63%,"11,006","This Case is Specifically Designed To Fit The New iPad 7th Generation /8th Generation 10.2"" 2020 model. Please Confirm Your IPad Model Prior Purchase.|Keeping Your Convenience In Mind, This Case For New iPad 10.2 inch is Designed To Give You The Best Utility and User Experience Possible.|Perfect Fit and Precise Cut-outs Ensures Easy Access To All The Ports and Buttons On Your New iPad 7th generation So That You Rarely Need To Remove The Case.|Built with Highest Quality Material, This Case For Protects Your New iPad Against Scratches, Bumps and Accidental Drops Keeping Your Precious Device Safe and Sound.|Sleek Design and Classy Look, This Case For New iPad is Crafted with Elegance That Surely Will Be An Add-On To Your Style While On The Go.",https://www.amazon.in/ProElite-Smart-Generation-Stylus-Translucent/dp/B07Z53L5QL/ref=sr_1_289?qid=1672903010&s=computers&sr=1-289
Robustrion Smart Trifold Hard Back Flip Stand Case Cover for Apple iPad 10.2 Cover iPad 9th Generation Cover 2021 8th Gen 2020 7th Gen 2019 Generation Case - Black,"Computers&Accessories|Accessories&Peripherals|TabletAccessories|Bags,Cases&Sleeves|Cases",₹549,"₹2,499",78%,"5,556","This Case Is Specifically Designed To Fit iPad 7th 8th 9th Generation 10.2 inch Only. It will not any other model. Please confirm your model number prior to purchase.|Keeping Your Convenience In Mind, This Case by Robustrion For iPad 7th 8th 9th Generation 10.2 inch Is Designed To Give You The Best Utility & User Experience Possible.|Perfect Fit & Precise Cutouts Ensures Easy Access To All The Ports & Buttons On Your iPad 10.2 inch 7th 8th 9th Generation That You Rarely Need To Remove The Case.|Built With Highest Quality Material, This Robustrion Case Protects Your iPad 10.2 inch 7th 8th 9th Generation Against Scratches, Bumps & Accidental Drops Keeping Your Precious Device Safe & Sound.|Sleek Design & Classy Look, This Case For iPad 10.2 inch 7th 8th 9th Generation Is Crafted With Elegance That Surely Will Be An Add-On To Your Style While On The Go.",https://www.amazon.in/Robustrion-Smart-Trifold-Stand-Generation/dp/B07YNHCW6N/ref=sr_1_331?qid=1672903011&s=computers&sr=1-331
Robustrion [Anti-Scratch] & [Smudge Proof] [Bubble Free] Premium Tempered Glass Screen Protector Guard for Samsung Galaxy Tab A8 10.5 inch [SM-X200/X205/X207] 2022,Computers&Accessories|Accessories&Peripherals|TabletAccessories|ScreenProtectors,₹399,"₹1,499",73%,691,"COMPATIBILITY: Specifically Designed Tempered Glass Screen Protector Guard for Samsung Galaxy Tab A8 10.5 inch [SM-X200/X205/X207 It will not fit any other model.|HIGH CLARITY AND TRANSPARENCY: Features ultra clarity with 99.9% transparency to allow an optimal, natural viewing experience on your Samsung Galaxy Tab A8 10.5 inch [SM-X200/X205/X207|FINGERPRINT FREE: Has Hydrophobic Oleophobic Coating, which is smudge-resistant and oil-resistant and can effectively reduce fingerprint marks and also making it easier to clean|9H surface hardness ! that is highly durable & scratch resistant protects your Samsung Galaxy Tab A8 10.5 inch [SM-X200/X205/X207|Easy Hassle-free & bubble-free installation ! Long lasting protection for your Samsung Galaxy Tab A8 10.5 inch [SM-X200/X205/X207",https://www.amazon.in/Robustrion-Samsung-10-5-inch-2022/dp/B09Q3M3WLJ/ref=sr_1_452?qid=1672903017&s=computers&sr=1-452
"ESR Screen Protector Compatible with iPad Pro 11 Inch (2022/2021/2020/2018) and iPad Air 5/4 (2022/2020, 10.9 Inch), Tempered-Glass Film with Alignment Frame, Scratch Resistant, HD Clarity, 2 Pack",Computers&Accessories|Accessories&Peripherals|TabletAccessories|ScreenProtectors,"₹1,234","₹1,599",23%,"16,680","Compatibility: compatible with iPad Pro 11 inch (2022/2021/2020/2018), iPad Air 5 (2022, 10.9 inch), and iPad Air 4 (2020, 10.9 inch)|Powerful Protection: premium glass, tempered to the highest hardness rating, defends your screen against cracks and scratches from keys and other hard objects to keep it looking like new|Clear and Responsive: only 0.3 mm thick and ultra-transparent to ensure your touchscreen stays responsive and display remains flawless; full Face ID and Pencil support|Bubble-Free Application: alignment frame and cleaning kit ensure quick and easy bubble-free application every time|What’s Included: 2 tempered-glass screen protectors, instruction manual, alignment frame, and 2 cleaning kits",https://www.amazon.in/ESR-iPad-Screen-Protector-Scratch-Resistant/dp/B07TMCXRFV/ref=sr_1_372?qid=1672903013&s=computers&sr=1-372
Robustrion Tempered Glass Screen Protector for iPad 10.2 inch 9th Gen Generation 2021 8th Gen 2020 7th Gen 2019,Computers&Accessories|Accessories&Peripherals|TabletAccessories|ScreenProtectors,₹399,"₹1,499",73%,"5,730","COMPATIBILITY: Specifically Designed Tempered Glass Screen Protector Guard for iPad 10.2 inch 7th 8th 9th Generation. It will not fit any other model.|HIGH CLARITY AND TRANSPARENCY: Features ultra clarity with 99.9% transparency to allow an optimal, natural viewing experience on your iPad 10.2 inch 7th 8th 9th Generation|FINGERPRINT FREE: Has Hydrophobic Oleophobic Coating, which is smudge-resistant and oil-resistant and can effectively reduce fingerprint marks and also making it easier to clean|9H surface hardness ! that is highly durable & scratch resistant protects your iPad 10.2 inch 7th 8th 9th Generation|Easy Hassle-free & bubble-free installation ! Long lasting protection for your iPad 10.2 inch 7th 8th 9th Generation",https://www.amazon.in/Robustrion-Anti-Scratch-iPad-10-2-inch/dp/B07Z3K96FR/ref=sr_1_160?qid=1672903002&s=computers&sr=1-160
"GIZGA Essentials Portable Tabletop Tablet Stand Mobile Holder, Desktop Stand, Cradle, Dock for iPad, Smartphone, Kindle, E-Reader, Fully Foldable, Adjustable Angle, Anti-Slip Pads, Black",Computers&Accessories|Accessories&Peripherals|TabletAccessories|Stands,₹149,₹499,70%,"25,607","Double leg is made of high qualified at the bottom of the antiskid foam material, by using two width, can be flat on the table|Using high-quality environmental engineering plastic material, effective to reduce travel weight|Portable and folding universal stand for 7-10 inch Tablet PC|Joints using automatic spacing device, adjust the Angle is not adjust anywhere, can be directly which can adjust the Angle|Also can solve the problem of tablet can only be placed horizontally cannot be put vertical|This stand can unfold and stand up as trIpod to hold tablet PC at perfect typing angle and better angle of view and better watching effect effect|0",https://www.amazon.in/Generic-Multi-Angle-tablets-Samsung-paperwhite-Phablets/dp/B017PDR9N0/ref=sr_1_240?qid=1672903006&s=computers&sr=1-240
"E-COSMOS 5V 1.2W Portable Flexible USB LED Light (Colours May Vary, Small, EC-POF1)",Computers&Accessories|Accessories&Peripherals|USBGadgets|Lamps,₹39,₹39,0%,"3,344","The side the LED light falls on will depend on your USB port orientation (non-standardized)|This product can twist and bend without breaking. Use this to shine light as required|Rated Voltage: 5V; Rated Power: 1.2W - Powered by any standard USB outlet (car charger, power bank, laptop etc.)|Ideal for lighting small areas inside your car, as an alternative to your cabin light|You might experience moderate heating from the LEDs - this is normal and won't damage the product",https://www.amazon.in/COSMOS-Portable-Flexible-Colors-EC-POF1/dp/B08TDJ5BVF/ref=sr_1_436?qid=1672903017&s=computers&sr=1-436
"E-COSMOS 5V 1.2W Portable Flexible USB LED Light (Colors May Vary, Small) - Set of 2 Pieces",Computers&Accessories|Accessories&Peripherals|USBGadgets|Lamps,₹59,₹59,0%,"5,958","Portable, easy to use|LED lights for maximum illumination|Plugs into any USB port|Multipurpose Energy Use|4Pcs of USB light.",https://www.amazon.in/COSMOS-Portable-Flexible-Light-Colours/dp/B08TDJNM3G/ref=sr_1_136?qid=1672903001&s=computers&sr=1-136
"SWAPKART Portable Flexible Adjustable Eye Protection USB LED Desk Light Table Lamp for Reading, Working on PC, Laptop, Power Bank, Bedroom ( Multicolour )",Computers&Accessories|Accessories&Peripherals|USBGadgets|Lamps,₹298,₹999,70%,"1,552","14 Highlight LED Lamp,super bright white light|Long life lasting LED Lamp life expectancy up to 10000hours|smooth and high-class, small and light weight|standard USB, plug directly into USB to take power|Super-saving power, the power consumption is less than 40ma",https://www.amazon.in/SWAPKART-Portable-Reading-Working-Bedroom/dp/B07QMRHWJD/ref=sr_1_499?qid=1672903019&s=computers&sr=1-499
Portronics MPORT 31C 4-in-1 USB Hub (Type C to 4 USB-A Ports) with Fast Data Transfer,Computers&Accessories|Accessories&Peripherals|USBHubs,₹570,₹999,43%,"3,201","4-in-1 Type-C USB Hub, 1 3.0 USB-A port, and 3 2.0 USB-A ports make it easier to connect different devices at the same time.|With 4 USB-A ports, Mport 31C makes multitasking easy and gives you added comfort while working.|USB 3.0 port gives you high-speed connectivity with up to 5Gbps data transfer speed.|Type-C port for compatibility with Macbook. Connect keyboard. mouse and other devices to facilitate working.|Portronics Mport 31C comes with a 1-year manufacturer’s warranty.",https://www.amazon.in/Portronics-MPORT-Type-Ports-Transfer/dp/B09M869Z5V/ref=sr_1_183?qid=1672903004&s=computers&sr=1-183
Portronics MPORT 31 4 Ports USB Hub (USB A to 4 USB-A Ports 4 in 1 Connector USB HUB(Grey),Computers&Accessories|Accessories&Peripherals|USBHubs,₹499,₹799,38%,"2,125","4-in-1 USB Hub, 1 3.0 USB-A port, and 3 2.0 USB-A ports make it easier to connect different devices at the same time.|With 4 USB-A ports, Mport 31 makes multitasking easy and gives you added comfort while working.|USB 3.0 port gives you high-speed connectivity with up to 5Gbps data transfer speed.|USB-A port for compatibility with multiple devices. Connect keyboard, mouse and other devices to facilitate working.|Portronics Mport 31 comes with a 1-year manufacturer’s warranty.",https://www.amazon.in/Portronics-MPORT-Ports-USB-Connector/dp/B09M8888DM/ref=sr_1_231?qid=1672903006&s=computers&sr=1-231
"ZEBRONICS Zeb-100HB 4 Ports USB Hub for Laptop, PC Computers, Plug & Play, Backward Compatible - Black",Computers&Accessories|Accessories&Peripherals|USBHubs,₹330,₹499,34%,"8,566",Zeb-100Hb Is A Compact Usb Hub.|It Has 4 Ports And Comes With An Overall Glossy Finish.|Cable Length 1.62 Meter|Backward Compatible|Available In Black Color|Country Of Origin: China|Display Size: 3.0 Centimeters,https://www.amazon.in/Zebronics-100HB-High-Speed-Port/dp/B07GLNJC25/ref=sr_1_370?qid=1672903013&s=computers&sr=1-370
